ensembleID,gene_name,cluster,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
ENSG00000179583,CIITA,B_cells,0,1.113464361,0.488,0.081,0
ENSG00000072694,FCGR2B,B_cells,0,1.077865397,0.451,0.049,0
ENSG00000226777,FAM30A,B_cells,0,1.074553315,0.281,0.003,0
ENSG00000140391,TSPAN3,B_cells,0,1.073280698,0.462,0.074,0
ENSG00000204252,HLA-DOA,B_cells,0,1.060325623,0.362,0.013,0
ENSG00000157734,SNX22,B_cells,0,1.056898468,0.355,0.012,0
ENSG00000166428,PLD4,B_cells,0,1.050856864,0.329,0.01,0
ENSG00000076554,TPD52,B_cells,0,1.031716793,0.472,0.092,0
ENSG00000224137,LINC01857,B_cells,0,1.027488062,0.286,0.001,0
ENSG00000092820,EZR,B_cells,0,1.024187944,0.756,0.404,0
ENSG00000160683,CXCR5,B_cells,0,1.020923836,0.355,0.015,0
ENSG00000211677,IGLC2,B_cells,0,1.012784121,0.245,0.006,0
ENSG00000091490,SEL1L3,B_cells,0,1.012491013,0.426,0.076,0
ENSG00000168734,PKIG,B_cells,0,1.004043235,0.363,0.009,0
ENSG00000082293,COL19A1,B_cells,0,0.996697326,0.287,0,0
ENSG00000205056,LINC02397,B_cells,0,0.992261097,0.314,0.001,0
ENSG00000156110,ADK,B_cells,0,0.991281248,0.476,0.163,0
ENSG00000157654,PALM2-AKAP2,B_cells,0,0.981886332,0.376,0.037,0
ENSG00000233016,SNHG7,B_cells,0,0.975599652,0.637,0.289,0
ENSG00000107438,PDLIM1,B_cells,0,0.971690838,0.502,0.054,0
ENSG00000083845,RPS5,B_cells,0,0.969537542,0.993,0.874,0
ENSG00000164649,CDCA7L,B_cells,0,0.968822508,0.344,0.021,0
ENSG00000079950,STX7,B_cells,0,0.964168456,0.515,0.155,0
ENSG00000175895,PLEKHF2,B_cells,0,0.947865334,0.436,0.098,0
ENSG00000079263,SP140,B_cells,0,0.947527773,0.531,0.169,0
ENSG00000170873,MTSS1,B_cells,0,0.9222894,0.47,0.13,0
ENSG00000165209,STRBP,B_cells,0,0.920641766,0.354,0.039,0
ENSG00000112799,LY86,B_cells,0,0.913764311,0.507,0.139,0
NA,FAM129C,B_cells,0,0.91146804,0.11,0.001,0
ENSG00000132465,JCHAIN,B_cells,0,0.910807359,0.315,0.029,0
ENSG00000152492,CCDC50,B_cells,0,0.896408574,0.361,0.051,0
ENSG00000198771,RCSD1,B_cells,0,0.894630657,0.786,0.492,0
ENSG00000163683,SMIM14,B_cells,0,0.884424434,0.409,0.112,0
ENSG00000085117,CD82,B_cells,0,0.883019145,0.501,0.177,0
ENSG00000103365,GGA2,B_cells,0,0.881819261,0.429,0.107,0
ENSG00000138639,ARHGAP24,B_cells,0,0.877245321,0.337,0.047,0
ENSG00000130348,QRSL1,B_cells,0,0.876124777,0.361,0.051,0
ENSG00000066923,STAG3,B_cells,0,0.873543857,0.183,0.013,0
ENSG00000185650,ZFP36L1,B_cells,0,0.863963257,0.839,0.544,0
ENSG00000147905,ZCCHC7,B_cells,0,0.858795335,0.476,0.163,0
ENSG00000143799,PARP1,B_cells,0,0.849122721,0.582,0.261,0
ENSG00000137478,FCHSD2,B_cells,0,0.843272817,0.407,0.097,0
ENSG00000106537,TSPAN13,B_cells,0,0.839638898,0.276,0.006,0
ENSG00000137502,RAB30,B_cells,0,0.831168281,0.294,0.023,0
ENSG00000240505,TNFRSF13B,B_cells,0,0.830903262,0.246,0.001,0
ENSG00000035720,STAP1,B_cells,0,0.830654149,0.285,0.008,0
ENSG00000132704,FCRL2,B_cells,0,0.829027923,0.263,0.001,0
ENSG00000169442,CD52,B_cells,0,0.815328621,0.982,0.787,0
ENSG00000162511,LAPTM5,B_cells,0,0.814644714,0.972,0.836,0
ENSG00000133639,BTG1,B_cells,0,0.812826686,0.981,0.836,0
ENSG00000175857,GAPT,B_cells,0,0.807949162,0.336,0.053,0
ENSG00000010671,BTK,B_cells,0,0.80706976,0.416,0.094,0
ENSG00000211978,IGHV5-78,B_cells,0,0.803186916,0.254,0,0
ENSG00000168081,PNOC,B_cells,0,0.80022046,0.271,0.004,0
ENSG00000086730,LAT2,B_cells,0,0.799648415,0.523,0.185,0
ENSG00000105640,RPL18A,B_cells,0,0.7989806,0.997,0.94,0
ENSG00000184588,PDE4B,B_cells,0,0.794374537,0.477,0.182,0
ENSG00000186265,BTLA,B_cells,0,0.793390311,0.272,0.025,0
ENSG00000048471,SNX29,B_cells,0,0.79316502,0.375,0.108,0
ENSG00000161016,RPL8,B_cells,0,0.79310992,0.997,0.937,0
ENSG00000167658,EEF2,B_cells,0,0.791686822,0.986,0.871,0
ENSG00000143297,FCRL5,B_cells,0,0.789163003,0.213,0.001,0
ENSG00000099956,SMARCB1,B_cells,0,0.788725235,0.463,0.174,0
ENSG00000172183,ISG20,B_cells,0,0.786494924,0.704,0.395,0
ENSG00000140750,ARHGAP17,B_cells,0,0.785137074,0.439,0.145,0
ENSG00000198382,UVRAG,B_cells,0,0.783929634,0.459,0.167,0
ENSG00000175482,POLD4,B_cells,0,0.783192666,0.72,0.446,0
ENSG00000187912,CLEC17A,B_cells,0,0.781778339,0.251,0.001,0
ENSG00000182199,SHMT2,B_cells,0,0.772759405,0.434,0.141,0
ENSG00000175130,MARCKSL1,B_cells,0,0.77201482,0.436,0.19,0
ENSG00000196247,ZNF107,B_cells,0,0.771194026,0.37,0.113,0
ENSG00000120278,PLEKHG1,B_cells,0,0.763897719,0.26,0.005,0
ENSG00000197943,PLCG2,B_cells,0,0.757539291,0.38,0.097,0
ENSG00000114942,EEF1B2,B_cells,0,0.757189791,0.988,0.839,0
ENSG00000110987,BCL7A,B_cells,0,0.754979873,0.232,0.01,0
ENSG00000134061,CD180,B_cells,0,0.754799506,0.268,0.02,0
ENSG00000114861,FOXP1,B_cells,0,0.754709909,0.701,0.421,0
ENSG00000170476,MZB1,B_cells,0,0.754075781,0.285,0.012,0
ENSG00000185033,SEMA4B,B_cells,0,0.752039964,0.305,0.043,0
ENSG00000162924,REL,B_cells,0,0.745473187,0.589,0.288,0
ENSG00000129071,MBD4,B_cells,0,0.738004407,0.496,0.218,0
ENSG00000168028,RPSA,B_cells,0,0.737742209,0.992,0.872,0
ENSG00000067066,SP100,B_cells,0,0.736960366,0.742,0.46,0
ENSG00000186468,RPS23,B_cells,0,0.735837868,0.996,0.939,0
ENSG00000281649,EBLN3P,B_cells,0,0.735200519,0.469,0.189,0
ENSG00000163029,SMC6,B_cells,0,0.734671144,0.322,0.075,0
ENSG00000161405,IKZF3,B_cells,0,0.73437287,0.544,0.215,0
ENSG00000114446,IFT57,B_cells,0,0.730938275,0.34,0.088,0
ENSG00000174123,TLR10,B_cells,0,0.728085136,0.252,0.002,0
ENSG00000133740,E2F5,B_cells,0,0.727523774,0.261,0.014,0
ENSG00000204852,TCTN1,B_cells,0,0.727150031,0.264,0.025,0
ENSG00000169413,RNASE6,B_cells,0,0.725580222,0.346,0.107,0
ENSG00000065923,SLC9A7,B_cells,0,0.716963604,0.23,0.01,0
ENSG00000091972,CD200,B_cells,0,0.716823296,0.201,0.002,0
ENSG00000173200,PARP15,B_cells,0,0.716820652,0.404,0.12,0
ENSG00000160991,ORAI2,B_cells,0,0.716317334,0.372,0.096,0
ENSG00000124772,CPNE5,B_cells,0,0.711895474,0.25,0.008,0
ENSG00000188820,CALHM6,B_cells,0,0.70898944,0.412,0.129,0
ENSG00000169499,PLEKHA2,B_cells,0,0.707696611,0.385,0.148,0
ENSG00000184226,PCDH9,B_cells,0,0.705213404,0.173,0.002,0
ENSG00000111666,CHPT1,B_cells,0,0.701316446,0.357,0.107,0
ENSG00000146192,FGD2,B_cells,0,0.701167223,0.37,0.101,0
ENSG00000142937,RPS8,B_cells,0,0.701158873,0.997,0.949,0
ENSG00000156171,DRAM2,B_cells,0,0.698046174,0.417,0.155,0
ENSG00000162298,SYVN1,B_cells,0,0.695016266,0.351,0.094,0
ENSG00000213402,PTPRCAP,B_cells,0,0.693136157,0.872,0.493,0
ENSG00000145349,CAMK2D,B_cells,0,0.691531716,0.326,0.107,0
ENSG00000096384,HSP90AB1,B_cells,0,0.689992102,0.897,0.68,0
ENSG00000117318,ID3,B_cells,0,0.689289385,0.245,0.041,0
ENSG00000163644,PPM1K,B_cells,0,0.685633172,0.422,0.161,0
ENSG00000237541,HLA-DQA2,B_cells,0,0.681904467,0.238,0.028,0
ENSG00000142534,RPS11,B_cells,0,0.679631793,0.978,0.859,0
ENSG00000164330,EBF1,B_cells,0,0.678353095,0.221,0.001,0
ENSG00000112335,SNX3,B_cells,0,0.676713925,0.736,0.449,0
ENSG00000235750,KIAA0040,B_cells,0,0.676125946,0.405,0.15,0
ENSG00000012779,ALOX5,B_cells,0,0.674634793,0.472,0.176,0
ENSG00000177954,RPS27,B_cells,0,0.673162374,0.995,0.939,0
ENSG00000135899,SP110,B_cells,0,0.672879873,0.648,0.381,0
ENSG00000138867,GUCD1,B_cells,0,0.671356232,0.304,0.075,0
ENSG00000163584,RPL22L1,B_cells,0,0.668720764,0.571,0.328,0
ENSG00000082512,TRAF5,B_cells,0,0.665011647,0.346,0.106,0
ENSG00000168216,LMBRD1,B_cells,0,0.664504285,0.469,0.206,0
ENSG00000008952,SEC62,B_cells,0,0.656526225,0.617,0.372,0
ENSG00000211897,IGHG3,B_cells,0,0.655540573,0.154,0.002,0
ENSG00000152804,HHEX,B_cells,0,0.655303937,0.324,0.084,0
ENSG00000150995,ITPR1,B_cells,0,0.654651157,0.327,0.11,0
ENSG00000160856,FCRL3,B_cells,0,0.653900944,0.27,0.068,0
ENSG00000234184,LINC01781,B_cells,0,0.653447334,0.133,0.001,0
ENSG00000028277,POU2F2,B_cells,0,0.652869718,0.615,0.288,0
ENSG00000111679,PTPN6,B_cells,0,0.643030349,0.792,0.535,0
ENSG00000135185,TMEM243,B_cells,0,0.639302084,0.493,0.24,0
ENSG00000165025,SYK,B_cells,0,0.634828795,0.504,0.211,0
ENSG00000198755,RPL10A,B_cells,0,0.634317113,0.991,0.882,0
ENSG00000078589,P2RY10,B_cells,0,0.62728683,0.302,0.075,0
ENSG00000112232,KHDRBS2,B_cells,0,0.62576925,0.193,0.003,0
ENSG00000183049,CAMK1D,B_cells,0,0.623188523,0.337,0.106,0
ENSG00000135916,ITM2C,B_cells,0,0.617483293,0.256,0.06,0
ENSG00000254772,EEF1G,B_cells,0,0.617206332,0.978,0.832,0
ENSG00000048052,HDAC9,B_cells,0,0.616759928,0.263,0.051,0
ENSG00000171467,ZNF318,B_cells,0,0.614834907,0.267,0.079,0
ENSG00000158481,CD1C,B_cells,0,0.614290739,0.183,0.007,0
ENSG00000170006,TMEM154,B_cells,0,0.613483306,0.387,0.141,0
ENSG00000171316,CHD7,B_cells,0,0.613101853,0.298,0.071,0
ENSG00000089157,RPLP0,B_cells,0,0.612854826,0.994,0.911,0
ENSG00000130787,HIP1R,B_cells,0,0.611974551,0.245,0.041,0
ENSG00000196781,TLE1,B_cells,0,0.611797067,0.225,0.027,0
ENSG00000128815,WDFY4,B_cells,0,0.611347109,0.255,0.04,0
ENSG00000157500,APPL1,B_cells,0,0.609780286,0.413,0.186,0
ENSG00000124151,NCOA3,B_cells,0,0.609644404,0.432,0.185,0
ENSG00000124243,BCAS4,B_cells,0,0.609018981,0.28,0.056,0
ENSG00000135074,ADAM19,B_cells,0,0.608531649,0.258,0.052,0
ENSG00000121895,TMEM156,B_cells,0,0.60797549,0.256,0.047,0
ENSG00000204628,RACK1,B_cells,0,0.607613121,0.993,0.913,0
ENSG00000136051,WASHC4,B_cells,0,0.605798765,0.441,0.195,0
ENSG00000154102,C16orf74,B_cells,0,0.600960796,0.226,0.032,0
ENSG00000117009,KMO,B_cells,0,0.600151279,0.225,0.026,0
ENSG00000131370,SH3BP5,B_cells,0,0.599967322,0.471,0.232,0
ENSG00000182240,BACE2,B_cells,0,0.597562184,0.201,0.002,0
ENSG00000211893,IGHG2,B_cells,0,0.593669006,0.187,0.007,0
ENSG00000164938,TP53INP1,B_cells,0,0.58963402,0.224,0.055,0
ENSG00000165905,LARGE2,B_cells,0,0.583642855,0.197,0.011,0
ENSG00000156136,DCK,B_cells,0,0.574857268,0.394,0.171,0
ENSG00000254087,LYN,B_cells,0,0.568682294,0.589,0.261,0
ENSG00000188822,CNR2,B_cells,0,0.56685772,0.196,0.006,0
ENSG00000063177,RPL18,B_cells,0,0.563634438,0.996,0.931,0
ENSG00000173926,3-Mar,B_cells,0,0.561668059,0.196,0.024,0
ENSG00000211895,IGHA1,B_cells,0,0.55998966,0.204,0.03,0
ENSG00000136490,LIMD2,B_cells,0,0.555069346,0.931,0.765,0
ENSG00000125458,NT5C,B_cells,0,0.550461703,0.416,0.19,0
ENSG00000221968,FADS3,B_cells,0,0.549805943,0.197,0.019,0
ENSG00000058091,CDK14,B_cells,0,0.546362928,0.195,0.01,0
ENSG00000196937,FAM3C,B_cells,0,0.542666983,0.239,0.06,0
ENSG00000152217,SETBP1,B_cells,0,0.540814709,0.212,0.025,0
ENSG00000231500,RPS18,B_cells,0,0.540650829,0.996,0.94,0
ENSG00000163568,AIM2,B_cells,0,0.539304326,0.188,0.023,0
ENSG00000174748,RPL15,B_cells,0,0.53797084,0.99,0.913,0
ENSG00000105373,NOP53,B_cells,0,0.537930429,0.902,0.69,0
ENSG00000155189,AGPAT5,B_cells,0,0.537895729,0.217,0.055,0
ENSG00000135318,NT5E,B_cells,0,0.535775552,0.18,0.027,0
ENSG00000163545,NUAK2,B_cells,0,0.53366902,0.243,0.063,0
ENSG00000148429,USP6NL,B_cells,0,0.529576274,0.209,0.027,0
ENSG00000197958,RPL12,B_cells,0,0.525079289,0.995,0.935,0
ENSG00000171858,RPS21,B_cells,0,0.52261551,0.993,0.91,0
ENSG00000170456,DENND5B,B_cells,0,0.52260008,0.181,0.002,0
ENSG00000198242,RPL23A,B_cells,0,0.521019639,0.992,0.9,0
ENSG00000148303,RPL7A,B_cells,0,0.520687706,0.995,0.932,0
ENSG00000162244,RPL29,B_cells,0,0.519632605,0.993,0.937,0
ENSG00000142541,RPL13A,B_cells,0,0.517542557,0.989,0.906,0
ENSG00000144645,OSBPL10,B_cells,0,0.513201922,0.205,0.025,0
ENSG00000122406,RPL5,B_cells,0,0.512945727,0.99,0.894,0
ENSG00000243156,MICAL3,B_cells,0,0.51246433,0.184,0.022,0
ENSG00000167641,PPP1R14A,B_cells,0,0.51125435,0.136,0.007,0
ENSG00000133818,RRAS2,B_cells,0,0.509093628,0.249,0.058,0
ENSG00000169504,CLIC4,B_cells,0,0.504525139,0.264,0.057,0
ENSG00000167526,RPL13,B_cells,0,0.501130965,0.998,0.958,0
ENSG00000112137,PHACTR1,B_cells,0,0.50083147,0.202,0.029,0
ENSG00000197705,KLHL14,B_cells,0,0.498998438,0.146,0.001,0
ENSG00000105738,SIPA1L3,B_cells,0,0.498565524,0.216,0.044,0
ENSG00000142676,RPL11,B_cells,0,0.49726498,0.997,0.948,0
ENSG00000177548,RABEP2,B_cells,0,0.495241188,0.237,0.063,0
ENSG00000105372,RPS19,B_cells,0,0.494053391,0.997,0.942,0
ENSG00000054277,OPN3,B_cells,0,0.489339624,0.223,0.059,0
ENSG00000143390,RFX5,B_cells,0,0.487049865,0.252,0.081,0
ENSG00000137154,RPS6,B_cells,0,0.485023435,0.993,0.921,0
ENSG00000257275,AL139020.1,B_cells,0,0.484616554,0.104,0,0
ENSG00000149806,FAU,B_cells,0,0.483193849,0.995,0.944,0
ENSG00000064886,CHI3L2,B_cells,0,0.479291404,0.162,0.026,0
ENSG00000100316,RPL3,B_cells,0,0.479030689,0.995,0.91,0
ENSG00000237513,AC007384.1,B_cells,0,0.478649235,0.223,0.06,0
ENSG00000146757,ZNF92,B_cells,0,0.47775415,0.228,0.072,0
ENSG00000187922,LCN10,B_cells,0,0.476099345,0.15,0.003,0
ENSG00000112486,CCR6,B_cells,0,0.471960204,0.191,0.032,0
ENSG00000070190,DAPP1,B_cells,0,0.468010001,0.354,0.143,0
ENSG00000168297,PXK,B_cells,0,0.466471997,0.29,0.105,0
ENSG00000112561,TFEB,B_cells,0,0.46439759,0.293,0.107,0
ENSG00000204001,LCN8,B_cells,0,0.460715244,0.111,0,0
ENSG00000162373,BEND5,B_cells,0,0.460156425,0.155,0.008,0
ENSG00000253535,AC120193.1,B_cells,0,0.45994439,0.133,0.001,0
ENSG00000152894,PTPRK,B_cells,0,0.454242956,0.141,0.004,0
ENSG00000158457,TSPAN33,B_cells,0,0.449774641,0.294,0.037,0
ENSG00000173198,CYSLTR1,B_cells,0,0.448810411,0.223,0.062,0
ENSG00000145425,RPS3A,B_cells,0,0.444120234,0.997,0.941,0
ENSG00000147403,RPL10,B_cells,0,0.443537799,0.998,0.958,0
ENSG00000117322,CR2,B_cells,0,0.44253519,0.138,0.004,0
ENSG00000198034,RPS4X,B_cells,0,0.442332501,0.994,0.921,0
ENSG00000118181,RPS25,B_cells,0,0.440991394,0.993,0.916,0
ENSG00000173801,JUP,B_cells,0,0.433437882,0.144,0.017,0
ENSG00000076604,TRAF4,B_cells,0,0.432631134,0.167,0.021,0
ENSG00000144713,RPL32,B_cells,0,0.429908398,0.996,0.948,0
ENSG00000108298,RPL19,B_cells,0,0.427876222,0.996,0.949,0
ENSG00000152689,RASGRP3,B_cells,0,0.425892674,0.137,0.004,0
ENSG00000136942,RPL35,B_cells,0,0.425429412,0.986,0.893,0
ENSG00000099958,DERL3,B_cells,0,0.424354853,0.14,0.005,0
ENSG00000156482,RPL30,B_cells,0,0.423760675,0.997,0.952,0
ENSG00000182247,UBE2E2,B_cells,0,0.4210063,0.19,0.046,0
ENSG00000184293,CLECL1,B_cells,0,0.418860364,0.16,0.018,0
ENSG00000177425,PAWR,B_cells,0,0.41529282,0.142,0.004,0
ENSG00000237638,LINC02245,B_cells,0,0.412820176,0.167,0.029,0
ENSG00000161970,RPL26,B_cells,0,0.406524749,0.994,0.933,0
ENSG00000176788,BASP1,B_cells,0,0.401790698,0.351,0.093,0
ENSG00000170684,ZNF296,B_cells,0,0.401617114,0.16,0.03,0
ENSG00000171863,RPS7,B_cells,0,0.401539361,0.992,0.929,0
ENSG00000198918,RPL39,B_cells,0,0.397804434,0.995,0.936,0
ENSG00000271856,LINC01215,B_cells,0,0.394976817,0.157,0.032,0
ENSG00000166405,RIC3,B_cells,0,0.39440048,0.2,0.056,0
ENSG00000171067,C11orf24,B_cells,0,0.391834918,0.184,0.046,0
ENSG00000156508,EEF1A1,B_cells,0,0.388141761,0.999,0.968,0
ENSG00000115758,ODC1,B_cells,0,0.385391355,0.477,0.222,0
ENSG00000119333,WDR34,B_cells,0,0.382656279,0.142,0.01,0
ENSG00000257221,AC007569.1,B_cells,0,0.381497483,0.114,0.002,0
ENSG00000174469,CNTNAP2,B_cells,0,0.381433121,0.101,0,0
ENSG00000110700,RPS13,B_cells,0,0.379252437,0.994,0.933,0
ENSG00000187514,PTMA,B_cells,0,0.377717684,0.996,0.95,0
ENSG00000270164,LINC01480,B_cells,0,0.373019168,0.1,0.001,0
ENSG00000158517,NCF1,B_cells,0,0.370370491,0.875,0.409,0
ENSG00000115268,RPS15,B_cells,0,0.366555796,0.996,0.947,0
ENSG00000179088,C12orf42,B_cells,0,0.366286188,0.129,0.015,0
ENSG00000175893,ZDHHC21,B_cells,0,0.362030067,0.172,0.04,0
ENSG00000151748,SAV1,B_cells,0,0.354151054,0.164,0.032,0
ENSG00000005471,ABCB4,B_cells,0,0.350816564,0.1,0,0
ENSG00000107242,PIP5K1B,B_cells,0,0.35040116,0.136,0.025,0
ENSG00000157483,MYO1E,B_cells,0,0.345090986,0.129,0.025,0
ENSG00000197385,ZNF860,B_cells,0,0.339469823,0.106,0,0
ENSG00000160999,SH2B2,B_cells,0,0.322713166,0.155,0.035,0
ENSG00000120162,MOB3B,B_cells,0,0.315568855,0.109,0.007,0
ENSG00000137265,IRF4,B_cells,0,0.300656688,0.132,0.025,0
ENSG00000124225,PMEPA1,B_cells,0,0.297982578,0.116,0.012,0
ENSG00000184574,LPAR5,B_cells,0,0.28579781,0.127,0.025,0
ENSG00000211896,IGHG1,B_cells,0,0.25933456,0.117,0.009,0
ENSG00000137818,RPLP1,B_cells,2.85E-306,0.347105042,0.998,0.969,6.58E-302
ENSG00000160602,NEK8,B_cells,3.44E-305,0.283845766,0.104,0.018,7.94E-301
ENSG00000157514,TSC22D3,B_cells,5.04E-305,0.653829253,0.898,0.765,1.16E-300
ENSG00000263264,AC119396.1,B_cells,1.46E-304,0.577101633,0.44,0.21,3.38E-300
ENSG00000127663,KDM4B,B_cells,6.61E-303,0.449725004,0.271,0.096,1.53E-298
ENSG00000169762,TAPT1,B_cells,2.52E-301,0.479577496,0.185,0.052,5.83E-297
ENSG00000164610,RP9,B_cells,5.44E-299,0.497296026,0.255,0.089,1.26E-294
ENSG00000170889,RPS9,B_cells,1.07E-298,0.349040647,0.991,0.94,2.48E-294
ENSG00000265681,RPL17,B_cells,1.54E-298,0.385386116,0.989,0.915,3.56E-294
ENSG00000163682,RPL9,B_cells,1.69E-297,0.400298854,0.987,0.9,3.90E-293
ENSG00000155657,TTN,B_cells,7.77E-297,0.494917982,0.215,0.066,1.79E-292
ENSG00000145246,ATP10D,B_cells,1.92E-293,0.400892304,0.175,0.048,4.44E-289
ENSG00000188404,SELL,B_cells,1.22E-292,0.555226007,0.767,0.488,2.81E-288
ENSG00000167642,SPINT2,B_cells,6.54E-291,0.421982895,0.326,0.133,1.51E-286
ENSG00000172071,EIF2AK3,B_cells,3.66E-287,0.39833185,0.173,0.047,8.46E-283
ENSG00000128891,CCDC32,B_cells,1.02E-286,0.490489061,0.261,0.095,2.36E-282
ENSG00000143947,RPS27A,B_cells,2.88E-286,0.359865192,0.997,0.947,6.64E-282
ENSG00000152127,MGAT5,B_cells,3.69E-285,0.442209934,0.221,0.072,8.53E-281
ENSG00000167264,DUS2,B_cells,6.43E-285,0.294580373,0.157,0.04,1.49E-280
ENSG00000124508,BTN2A2,B_cells,1.24E-284,0.320557192,0.138,0.032,2.86E-280
ENSG00000107902,LHPP,B_cells,7.94E-283,0.504807066,0.248,0.089,1.83E-278
ENSG00000123600,METTL8,B_cells,1.79E-282,0.338107055,0.14,0.033,4.13E-278
ENSG00000177600,RPLP2,B_cells,6.43E-282,0.350887875,0.993,0.936,1.48E-277
ENSG00000239264,TXNDC5,B_cells,1.25E-281,0.347024348,0.17,0.047,2.89E-277
